,Company Name,Overall Stars,Culture & Values,Work/Life Balance,Senior Management,Compensation & Benefits,Career Opportunities,URL
64,Oliver Wyman Group,4.3,4.4,3.2,3.9,4.2,4.1,"https://www.glassdoor.com/Overview/Working-at-Oliver-Wyman-EI_IE40206.11,23.htm"
65,Bright Horizons Family Solutions,3.1,3.3,2.9,2.6,2.8,3,"https://www.glassdoor.com/Overview/Working-at-Bright-Horizons-Family-Solutions-EI_IE6525.11,43.htm"
66,CHG Healthcare,4.5,4.6,4.6,4.4,4.3,4.2,"https://www.glassdoor.com/Overview/Working-at-CHG-Healthcare-EI_IE40836.11,25.htm"
67,Crowe,3.8,3.9,3.6,3.6,3.7,3.8,"https://www.glassdoor.com/Overview/Working-at-Crowe-EI_IE9414.11,16.htm"
68,Zillow,3.9,4.1,4.3,3.7,4.3,3.7,"https://www.glassdoor.com/Overview/Working-at-Zillow-EI_IE40802.11,17.htm"
69,Atlassian,4.4,4.5,4.4,4.1,4.3,4.2,"https://www.glassdoor.com/Overview/Working-at-Atlassian-EI_IE115699.11,20.htm"
70,Comcast NBCUniversal,3.5,3.4,3.3,3,3.8,3.4,"https://www.glassdoor.com/Overview/Working-at-Comcast-EI_IE1280.11,18.htm"
71,Hyland,3.5,3.8,4,3.2,3,3.2,"https://www.glassdoor.com/Overview/Working-at-Hyland-EI_IE9432.11,17.htm"
72,Cadence,4.1,4.2,4.2,3.8,4,3.8,"https://www.glassdoor.com/Overview/Working-at-Cadence-Design-Systems-EI_IE1217.11,33.htm"
73,Perkins Coie LLP,3.8,3.8,3.8,3.5,4.2,3.6,"https://www.glassdoor.com/Overview/Working-at-Perkins-Coie-EI_IE3326.11,23.htm"
74,"Regeneron Pharmaceuticals, Inc.",3.7,3.6,3.3,3.3,4.1,3.6,"https://www.glassdoor.com/Overview/Working-at-Regeneron-Pharmaceuticals-EI_IE981.11,36.htm"
75,Progressive Insurance,3.8,4,3.3,3.5,4,3.8,"https://www.glassdoor.com/Overview/Working-at-Progressive-Insurance-EI_IE546.11,32.htm"
76,Power Home Remodeling,4.6,4.8,3.7,4.7,4.6,4.7,"https://www.glassdoor.com/Overview/Working-at-Power-Home-Remodeling-EI_IE405781.11,32.htm"
77,Kronos Incorporated,4,4,4.1,3.7,4,3.7,"https://www.glassdoor.com/Overview/Working-at-Kronos-Incorporated-EI_IE2196.11,30.htm"
78,Children's Healthcare of Atlanta,3.9,4,3.7,3.2,3.7,3.5,"https://www.glassdoor.com/Overview/Working-at-Children-s-Healthcare-of-Atlanta-EI_IE24288.11,43.htm"
79,Workiva Inc.,3.9,4.1,4.1,3.7,3.8,3.6,"https://www.glassdoor.com/Overview/Working-at-Workiva-EI_IE833668.11,18.htm"
80,"Nugget Market, Inc.",3.8,4,3.6,3.8,3.8,3.5,"https://www.glassdoor.com/Overview/Working-at-Nugget-Market-EI_IE148409.11,24.htm"
81,Burns & McDonnell,3.9,3.9,3.3,3.5,3.9,3.7,"https://www.glassdoor.com/Overview/Working-at-Burns-and-McDonnell-EI_IE26324.11,30.htm"
82,First American Financial Corporation,3.5,3.6,3.6,3.2,3.2,3.2,https://www.glassdoor.com/Reviews/First-American-Reviews-E2526.htm
83,Total Quality Logistics,3.7,3.9,2.8,3.7,3.6,3.7,https://www.glassdoor.com/Reviews/Total-Quality-Logistics-Reviews-E134523.htm
84,"Sheetz, Inc.",3.6,3.7,2.9,3.1,3.8,3.6,"https://www.glassdoor.com/Overview/Working-at-Sheetz-EI_IE4015.11,17.htm"
85,Custom Ink,3.7,3.8,3.8,3.5,3.8,3.4,"https://www.glassdoor.com/Overview/Working-at-Custom-Ink-EI_IE152733.11,21.htm"
86,Atlantic Health System,3.6,3.6,3.4,3,3.5,3.5,https://www.glassdoor.com/Reviews/Atlantic-Health-System-Reviews-E17694.htm
87,Methodist Le Bonheur Healthcare,4.1,4.1,3.7,3.4,3.5,3.8,"https://www.glassdoor.com/Overview/Working-at-Methodist-Le-Bonheur-Healthcare-EI_IE4662.11,42.htm"
88,Four Seasons Hotels & Resorts,3.9,4,3.2,3.5,3.9,3.8,https://www.glassdoor.com/Reviews/Four-Seasons-Reviews-E4202.htm
89,Novo Nordisk Inc.,4,4,4,3.3,4,3.4,"https://www.glassdoor.com/Overview/Working-at-Novo-Nordisk-EI_IE3498.11,23.htm"
90,Farmers Insurance,3.4,3.3,3.3,2.9,3.4,3.2,"https://www.glassdoor.com/Overview/Working-at-Farmers-Insurance-Group-EI_IE3955.11,34.htm"
91,Bank of America,3.7,3.6,3.6,3.1,3.8,3.5,"https://www.glassdoor.com/Overview/Working-at-Bank-of-America-EI_IE8874.11,26.htm"
92,"Box, Inc.",4,4.3,4.3,3.7,4,3.9,"https://www.glassdoor.com/Overview/Working-at-Box-EI_IE254092.11,14.htm"
93,Alliance Data,3.3,3.3,3.3,2.8,3.7,3.1,"https://www.glassdoor.com/Overview/Working-at-Alliance-Data-EI_IE11421.11,24.htm"
94,FedEx Corporation,3.7,3.7,3.6,3.2,3.6,3.5,"https://www.glassdoor.com/Overview/Working-at-FedEx-EI_IE246.11,16.htm"
95,Activision Blizzard,3.8,3.8,3.6,3.2,3.2,3.2,"https://www.glassdoor.com/Overview/Working-at-Activision-Blizzard-EI_IE605784.11,30.htm"
96,"Delta Air Lines, Inc.",4.2,4.1,3.7,3.7,4.2,4,"https://www.glassdoor.com/Overview/Working-at-Delta-Air-Lines-EI_IE197.11,26.htm"
97,"Mars, Incorporated",3.9,4,3.8,3.3,3.9,3.6,"https://www.glassdoor.com/Overview/Working-at-Mars-EI_IE2886.11,15.htm"
98,OhioHealth,3.7,3.7,3.5,3.1,3.3,3.5,"https://www.glassdoor.com/Overview/Working-at-OhioHealth-EI_IE4657.11,21.htm"
99,Patagonia,4.3,4.5,4.2,3.8,3.9,3.3,"https://www.glassdoor.com/Overview/Working-at-Patagonia-EI_IE5474.11,20.htm"
